"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score"
"FF","2018-05-13","91.9","-1.5727","6.0443","Mookie Betts",605141,461325,"null","swinging_strike",,,,,"5","null","R","R","R","TOR","BOS","S","null","null",2,1,2018,"-0.5165","1.6479","-0.0582","2.4214","null","598265.00","null",2,9,"Top","null","null",,,431145,,"180513_204303","4.8883","-133.4742","-6.7367","-7.1453","29.6929","-11.5937","3.2850","1.4870","null","null","null","90.9300","2175","5.8820",530003,461325,431145,475253,500208,518626,620446,434158,607680,606192,"54.6173","null","null","null","null","null","null","null",74,"4","4-Seam Fastball",3,5,5,3,5,3,5,3
"FF","2018-05-13","91.0","-1.2725","6.1561","Mookie Betts",605141,461325,"null","ball",,,,,"12","null","R","R","R","TOR","BOS","B","null","null",1,1,2018,"-0.3943","1.5809","1.7304","3.0722","null","null","598265.00",2,9,"Top","null","null",,,431145,,"180513_204217","8.2793","-132.0509","-5.0726","-6.3350","28.7296","-13.1361","3.2850","1.4870","null","null","null","90.0350","2238","5.9020",530003,461325,431145,475253,500208,518626,620446,434158,607680,606192,"54.5979","null","null","null","null","null","null","null",74,"3","4-Seam Fastball",3,5,5,3,5,3,5,3
"FS","2018-05-13","82.8","-1.1307","6.2607","Mookie Betts",605141,461325,"null","blocked_ball",,,,,"14","null","R","R","R","TOR","BOS","B","null","null",0,1,2018,"-0.3568","0.3496","0.5776","0.6877","null","null","598265.00",2,9,"Top","null","null",,,431145,,"180513_204142","4.4831","-120.1131","-6.6633","-4.2760","25.6711","-27.7884","3.2850","1.4870","null","null","null","80.9150","null","5.4130",530003,461325,431145,475253,500208,518626,620446,434158,607680,606192,"55.0869","null","null","null","null","null","null","null",74,"2","Split Finger",3,5,5,3,5,3,5,3
"FS","2018-05-13","83.3","-1.3519","6.1782","Mookie Betts",605141,461325,"null","called_strike",,,,,"12","null","R","R","R","TOR","BOS","S","null","null",0,0,2018,"0.4890","0.5695","1.0995","2.8429","null","null","598265.00",2,9,"Top","null","null",,,431145,,"180513_204112","4.6282","-120.9957","-2.1613","3.6029","27.1170","-26.5722","3.2850","1.4870","null","null","null","81.7350","2081","5.6730",530003,461325,431145,475253,500208,518626,620446,434158,607680,606192,"54.8270","null","null","null","null","null","null","null",74,"1","Split Finger",3,5,5,3,5,3,5,3
"SI","2018-05-13","90.6","-0.8651","5.6475","Mookie Betts",605141,543208,"strikeout","called_strike",,,,,"12","Mookie Betts called out on strikes.  ","R","R","R","TOR","BOS","S",2,"null",2,2,2018,"-0.9165","0.8160","0.9959","2.5703","null","null","null",2,7,"Top","null","null",,,431145,,"180513_195201","6.6785","-131.8964","-3.5786","-12.2039","26.4827","-21.9703","3.2850","1.4870","null","null","null","91.4930","2167","6.6780",530003,543208,431145,475253,500208,518626,620446,434158,607680,606192,"53.8219","null","null","0.00",1,0,0,"null",57,"5","Sinker",3,4,4,3,4,3,4,3
"CU","2018-05-13","79.0","-0.9569","5.7185","Mookie Betts",605141,543208,"null","ball",,,,,"14","null","R","R","R","TOR","BOS","B","null","null",1,2,2018,"0.5811","-0.3072","0.4103","0.6093","null","null","null",2,7,"Top","null","null",,,431145,,"180513_195137","1.9004","-114.9870","-3.7833","4.7860","20.2951","-34.4316","3.2850","1.4870","null","null","null","78.8580","2328","6.0680",530003,543208,431145,475253,500208,518626,620446,434158,607680,606192,"54.4316","null","null","null","null","null","null","null",57,"4","Curveball",3,4,4,3,4,3,4,3
"CH","2018-05-13","83.9","-0.8936","5.6480","Mookie Betts",605141,543208,"null","foul",,,,,"7","null","R","R","R","TOR","BOS","S","null","null",1,1,2018,"-1.4147","0.1884","-0.6942","1.9827","null","null","null",2,7,"Top","null","null",,,431145,,"180513_195108","3.2682","-122.0837","-2.4187","-14.7806","25.2316","-30.0197","3.2850","1.4870","null","null","null","83.8660","1286","6.3820",530003,543208,431145,475253,500208,518626,620446,434158,607680,606192,"54.1180","null","null","null","null","null","null","null",57,"3","Changeup",3,4,4,3,4,3,4,3
"SI","2018-05-13","89.5","-0.9365","5.6561","Mookie Betts",605141,543208,"null","called_strike",,,,,"12","null","R","R","R","TOR","BOS","S","null","null",1,0,2018,"-0.9367","0.7834","0.9043","2.4814","null","null","null",2,7,"Top","null","null",,,431145,,"180513_195050","6.6124","-130.3289","-3.5753","-12.1925","26.0140","-22.5500","3.2850","1.4870","null","null","null","90.5460","2177","6.7760",530003,543208,431145,475253,500208,518626,620446,434158,607680,606192,"53.7242","null","null","null","null","null","null","null",57,"2","Sinker",3,4,4,3,4,3,4,3
"SL","2018-05-13","84.3","-0.8105","5.7798","Mookie Betts",605141,543208,"null","ball",,,,,"12","null","R","R","R","TOR","BOS","B","null","null",0,0,2018,"-0.1175","0.3703","1.0834","2.9135","null","null","null",2,7,"Top","null","null",,,431145,,"180513_195037","4.6400","-122.8349","-1.1116","-2.0067","21.4129","-28.3974","3.2593","1.6195","null","null","null","84.8350","2150","6.2970",530003,543208,431145,475253,500208,518626,620446,434158,607680,606192,"54.2032","null","null","null","null","null","null","null",57,"1","Slider",3,4,4,3,4,3,4,3
"FF","2018-05-13","90.5","-1.7318","6.8166","Mookie Betts",605141,607352,"single","hit_into_play_no_out",,,,,"4","Mookie Betts singles on a line drive to center fielder Kevin Pillar.  ","R","R","R","TOR","BOS","X","null","line_drive",1,1,2018,"-0.2484","1.2463","-0.4911","2.4772","null","null","null",1,5,"Top","149.39","102.78",,,431145,,"180513_185312","3.5820","-131.5718","-7.4103","-3.6079","28.5577","-16.6095","3.2850","1.4870","210","81.5","17.2080","89.6270","2001","5.8540",530003,607352,431145,475253,500208,518626,620446,546990,607680,606192,"54.6455","0.940","0.898","0.90",1,1,0,4,37,"3","4-Seam Fastball",0,3,3,0,3,0,3,0
